2026-04-18 23:16:32 | INFO     | PaymentExtractor | extract_momo:35 | Starting MoMo extraction...
2026-04-18 23:16:32 | INFO     | PaymentExtractor | extract_json_gzip:24 | Extracting: gs://minpy/momo/transactions.json.gz
2026-04-18 23:16:37 | INFO     | PaymentExtractor | extract_json_gzip:33 | Extracted 40000 records from momo/transactions.json.gz
2026-04-18 23:16:37 | INFO     | PaymentExtractor | extract_momo:37 | MoMo extraction complete: 40000 transactions
2026-04-18 23:16:37 | INFO     | PaymentExtractor | extract_zalopay:47 | Starting ZaloPay extraction...
2026-04-18 23:16:37 | INFO     | PaymentExtractor | extract_json_gzip:24 | Extracting: gs://minpy/zalopay/transactions.json.gz
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_json_gzip:33 | Extracted 55000 records from zalopay/transactions.json.gz
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_zalopay:49 | ZaloPay extraction complete: 55000 transactions
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_mercury_accounts:59 | Starting Mercury accounts extraction...
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_json_gzip:24 | Extracting: gs://minpy/mercury/accounts.json.gz
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_json_gzip:33 | Extracted 3 records from mercury/accounts.json.gz
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_mercury_accounts:61 | Mercury accounts extraction complete: 3 accounts
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_mercury_transactions:71 | Starting Mercury transactions extraction...
2026-04-18 23:16:42 | INFO     | PaymentExtractor | extract_json_gzip:24 | Extracting: gs://minpy/mercury/transactions.json.gz
2026-04-18 23:16:46 | INFO     | PaymentExtractor | extract_json_gzip:33 | Extracted 5000 records from mercury/transactions.json.gz
2026-04-18 23:16:46 | INFO     | PaymentExtractor | extract_mercury_transactions:73 | Mercury transactions extraction complete: 5000 transactions
2026-04-18 23:16:46 | INFO     | TrackingExtractor | extract_cart_events:26 | Starting cart events extraction (large file, please wait)...
2026-04-18 23:16:46 | INFO     | TrackingExtractor | extract_json_gzip:24 | Extracting: gs://minpy/cart_tracking/cart_events.json.gz
2026-04-18 23:17:33 | ERROR    | PipelineOrchestrator | run_full_pipeline:93 | PIPELINE FAILED after 174.7s: 
2026-04-18 23:17:33 | ERROR    | Main | main:91 | Pipeline failed: 
